"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"RPL22L1"	0.000134194923256999	0.302993779152357	0.627	0.775	1
"TUBA1A"	2.30481701638824e-42	0.299168317961773	0.104	0.307	5.64657120844955e-38
"GRN"	7.47917014886801e-99	0.298815472892142	0.237	0.738	1.83232189477117e-94
"EIF3M"	2.27551720756063e-19	0.298537994258118	0.411	0.841	5.5747896068028e-15
"METAP2"	9.4083064197869e-41	0.298401269104104	0.378	0.881	2.30494098978359e-36
"ISG15"	2.5391401972155e-66	0.298072975051536	0.276	0.722	6.22063956915825e-62
"CCT7"	3.37093939524618e-52	0.297677499030234	0.308	0.758	8.25846442441362e-48
"H2AFJ"	3.09593994274339e-86	0.29728854208455	0.29	0.826	7.58474326572703e-82
"CHCHD2"	1.74546596263003e-27	0.296951244879817	0.868	0.985	4.27621706184731e-23
"SF3B14"	4.09728298737232e-06	0.29594464988516	0.498	0.929	0.100379335907634
"PPA1"	2.38760686023761e-15	0.293380325905827	0.798	0.969	5.84939804689613e-11
"ATP5B"	5.28729170336661e-05	0.291901063299492	0.503	0.895	1
"PSMC3"	2.16054196174085e-67	0.291576591148132	0.257	0.686	5.29311175206891e-63
"PSME1"	0.228139260554517	0.291333114536535	0.556	0.905	1
"EIF3D"	1.73647452548274e-39	0.289784518297306	0.31	0.707	4.25418893998016e-35
"RPS15"	5.15021700736013e-64	0.289390500153158	0.955	0.998	1.26175166463316e-59
"PLD3"	2.09876194144227e-105	0.288856679704414	0.162	0.585	5.14175688033941e-101
"COX7B"	2.20212981723169e-34	0.288740076809297	0.405	0.912	5.39499783923591e-30
"FSCN1"	1.10662517638825e-21	0.287909188046193	0.315	0.616	2.71112101963358e-17
"CD68"	4.60833164069598e-81	0.287801876561906	0.117	0.439	1.12899516865411e-76
"RPS21"	2.46398849439789e-51	0.287641860264609	0.927	0.996	6.0365254124254e-47
"POLR2F"	1.90814975280735e-91	0.286449679428742	0.252	0.753	4.67477607940273e-87
"PSMB8"	2.29627309290115e-37	0.286382436525016	0.354	0.793	5.62563945029853e-33
"CCL3"	4.09615513639329e-21	0.285253033216529	0.066	0.173	1.00351704686499e-16
"UQCC2"	3.11718210738096e-26	0.285007099440968	0.408	0.871	7.6367844448726e-22
"PSMB3"	5.15190907938842e-13	0.284952117320395	0.419	0.793	1.26216620535937e-08
"RPL15"	1.87844920336683e-61	0.284816734270952	0.969	0.998	4.60201270332839e-57
"RPL23"	1.80143632432268e-52	0.284142942721612	0.947	0.998	4.41333885095814e-48
"ZFAND1"	1.56063885993608e-84	0.283600241838447	0.219	0.661	3.8234091429574e-80
"SOD1"	4.98657536654679e-08	0.28354257931508	0.489	0.945	0.0012216610990503
"YBX1"	1.80105014345654e-19	0.283308205225738	0.84	0.976	4.41239274645417e-15
"HLA-DRB1"	1.85577096757061e-83	0.282664138447754	0.167	0.544	4.54645329345123e-79
"HN1"	1.65378457341201e-08	0.282454149535419	0.707	0.854	0.000405160682640209
"MYL12B"	0.238348000182983	0.281840421937688	0.557	0.951	1
"PSMC5"	1.39155826851091e-55	0.280822082342081	0.302	0.751	3.40917860202488e-51
"SNCG"	2.06793294109721e-27	0.279956474701093	0.281	0.589	5.06622891239405e-23
